time,field_value,field_friendly_name
2025-09-03T13:51:12.732129Z,1.0,channel
2025-09-03T13:51:12.744155Z,113.0,cognitiveHighLowBalance
2025-09-03T13:51:12.754576Z,30.0,concentration
2025-09-03T13:51:12.765605Z,0.0,dissatisfied
2025-09-03T13:51:12.775353Z,30.0,emotionBalance
2025-09-03T13:51:12.785875Z,85.0,emotionCognitiveRatio
2025-09-03T13:51:12.796776Z,12.0,emotionEnergyBalance
2025-09-03T13:51:12.806864Z,7.0,energy
2025-09-03T13:51:12.816432Z,26.0,excitement
2025-09-03T13:51:12.829014Z,14.0,extremeEmotion
2025-09-03T13:51:12.841806Z,-1.0,finalRiskLevel
2025-09-03T13:51:12.851811Z,17.0,hesitation
2025-09-03T13:51:12.861764Z,3.0,imagination
2025-09-03T13:51:12.871235Z,2.0,index
2025-09-03T13:51:12.881294Z,0.0,joy
2025-09-03T13:51:12.892265Z,11.0,mentalEffort
2025-09-03T13:51:12.904995Z,89.0,offlineLVA-cognitiveStress
2025-09-03T13:51:12.915387Z,1.0,offlineLVA-deceptionPatterns
2025-09-03T13:51:12.927027Z,110.0,offlineLVA-emotionStress
2025-09-03T13:51:12.937016Z,30.0,offlineLVA-frgStress
2025-09-03T13:51:12.947314Z,206.0,offlineLVA-globalStress
2025-09-03T13:51:12.958015Z,85.0,offlineLVA-riskProbability
2025-09-03T13:51:12.968363Z,165.0,offlineLVA-riskStress
2025-09-03T13:51:12.981362Z,133.0,offlineLVA-subjectiveEffortLevel
2025-09-03T13:51:12.991692Z,13.0,offlineLVA-value
2025-09-03T13:51:13.001581Z,0.0,onlineLVA
2025-09-03T13:51:13.010832Z,1332.0,overallCognitiveActivity
2025-09-03T13:51:13.022551Z,4.0,oz1
2025-09-03T13:51:13.032865Z,4.0,oz2
2025-09-03T13:51:13.042610Z,-1.0,risk1
2025-09-03T13:51:13.052443Z,-1.0,risk2
2025-09-03T13:51:13.062881Z,255.0,riskOZ
2025-09-03T13:51:13.072306Z,0.0,sad
2025-09-03T13:51:13.081816Z,23.0,stress
2025-09-03T13:51:13.091629Z,23.0,uncertainty
2025-09-03T13:51:13.102870Z,0.0,uneasy
2025-09-03T13:51:13.112761Z,16.0,voiceEnergy
2025-09-03T13:51:13.123513Z,4.0,EDP-Anticipation
2025-09-03T13:51:13.133539Z,75.0,EDP-Concentrated
2025-09-03T13:51:13.143283Z,33.0,EDP-Confident
2025-09-03T13:51:13.160286Z,7.0,EDP-Distress
2025-09-03T13:51:13.170963Z,35.0,EDP-Emotional
2025-09-03T13:51:13.184511Z,43.0,EDP-Energetic
2025-09-03T13:51:13.208854Z,29.0,EDP-Hesitation
2025-09-03T13:51:13.228612Z,0.0,EDP-Passionate
2025-09-03T13:51:13.248052Z,63.0,EDP-Stressful
2025-09-03T13:51:13.259614Z,64.0,EDP-Thoughtful
2025-09-03T13:51:13.273019Z,0.0,EDP-Uneasy
2025-09-03T13:51:13.283857Z,0.0,EmotionPlayer-Aggression
2025-09-03T13:51:13.294564Z,38.0,EmotionPlayer-Energy
2025-09-03T13:51:13.305130Z,0.0,EmotionPlayer-Joy
2025-09-03T13:51:13.315172Z,127.0,EmotionPlayer-Risk
2025-09-03T13:51:13.325907Z,0.0,EmotionPlayer-Sad
2025-09-03T13:51:13.336544Z,78.0,EmotionPlayer-Stress
2025-09-03T13:51:13.348350Z,25.0,JQ
2025-09-03T13:51:13.358187Z,18.0,JQcl
2025-09-03T13:51:13.368400Z,0.0,LVA-CognitiveStress
2025-09-03T13:51:13.381635Z,0.0,LVA-EmotionStress
2025-09-03T13:51:13.391681Z,0.0,LVA-EnergyStress
2025-09-03T13:51:13.401603Z,0.0,LVA-GlobalStress
2025-09-03T13:51:13.410917Z,0.0,LVA-MentalEffort
2025-09-03T13:51:13.420627Z,0.0,LVA-SOSStress
2025-09-03T13:51:13.433717Z,0.0,LVARiskStress
2025-09-03T13:51:13.443368Z,80.0,SOS
2025-09-03T13:51:13.453715Z,792.0,VOL1
2025-09-03T13:51:13.463933Z,63.0,VOL2
2025-09-03T13:51:13.474592Z,0.0,aggression
2025-09-03T13:51:13.485430Z,0.0,anticipation
2025-09-03T13:51:13.498802Z,0.0,arousal
2025-09-03T13:51:13.508373Z,3.0,atmosphere
2025-09-03T13:51:13.518717Z,0.0,channel
2025-09-03T13:51:13.528801Z,112.0,cognitiveHighLowBalance
2025-09-03T13:51:13.539293Z,22.0,concentration
2025-09-03T13:51:13.550036Z,0.0,dissatisfied
2025-09-03T13:51:13.560200Z,35.0,emotionBalance
